Designator,Mid X,Mid Y,Side,Rotation
C1,126.175,-90.6,top,0
C2,116.6,-85.175,top,90
C3,125.775,-96.05,top,0
C4,126.1,-92.35,top,0
C5,120.535,-101.2,top,-90
C6,113.535,-91.284841,top,180
C7,118.2,-85.175,top,90
C8,124.35,-88.225,top,90
C9,115,-85.175,top,90
C10,122.1275,-101.2,top,-90
C11,122.6,-88.225,top,90
C12,109.46,-78.85,top,0
C13,117.35,-101.2,top,-90
C14,114.77,-99.99,top,180
C15,132.525,-85.025,top,-90
C16,128.675,-111.825,top,-90
C17,126.725,-85.025,top,-90
C18,133.99,-111.84,top,-90
C19,131.45,-101.9,top,0
C20,127.4,-101.825,top,-90
C21,133.99,-103.3525,top,90
C22,129.175,-101.825,top,-90
C23,126.295,-104.845,top,180
C24,110.25,-102.7975,top,90
C25,105.425,-103.225,top,90
C26,107.7,-113.1,top,180
C27,111.825,-112.5,top,90
C28,105.425,-111.775,top,-90
C29,110,-112.5,top,90
C30,112.94,-109.95,top,0
C31,119.425,-110.35,top,0
D1,125.575,-111.825,top,90
D2,123.9875,-108.3,top,0
D3,111,-100.45,top,180
D4,114.82,-108.3,top,180
IC1,131.205,-107.59,top,180
IC2,108.2,-107.5,top,0
J2,120.85,-73.5,top,90
J5,102.88,-95.415,top,-90
J7,138.95,-94.125,top,90
J9,102.85,-107.495,top,-90
J12,138.065,-81.72,top,90
J14,136.55,-107.59,top,90
J15,102.86,-83.275,top,-90
R1,136.5,-114.7625,top,90
R3,107.04,-91.225,top,-90
R5,105.31,-91.225,top,-90
R8,107.04,-87.89,top,90
R9,105.31,-87.885,top,-90
R10,118.9425,-101.2,top,90
R11,121.4,-85.175,top,90
R12,119.8,-85.175,top,-90
R13,127.125,-111.825,top,-90
R14,123.72,-101.2,top,-90
R15,133.27,-114.935,top,-90
R16,133.99,-100.01,top,90
R17,130.94,-115.64,top,0
R18,130.94,-114.1,top,180
R19,123.9875,-106.655,top,0
R20,111.8,-102.7975,top,90
R22,105.26,-99.875,top,90
R23,105.425,-114.85,top,-90
R24,107.575,-99.125,top,0
R25,107.575,-100.675,top,180
R26,114.8,-106.655,top,180
R27,102.9,-114.675,top,90
R28,102.9,-100.35,top,-90
R29,135.95,-100.35,top,-90
SW1,117,-81.475,top,0
U2,119.425,-94.53,top,0
U3,110.855,-84.71,top,0
U4,129.60135,-84.975001,top,180
Y1,114.55,-103.025,top,90
